Player,Team,Rating,Original_Pos,Group,Sub_Pos
Mateo Kovačić,Manchester City,82,CM,MID,CM
Leandro Trossard,Arsenal,83,LW,FWD,LW
Jarrod Bowen,West Ham United,83,RM,MID,RM
Benjamin White,Arsenal,83,RB,DEF,RB
Anthony Gordon,Newcastle United,82,LW,FWD,LW
Maxence Lacroix,Crystal Palace,81,CB,DEF,CB
Riccardo Calafiori,Arsenal,81,LB,DEF,LB
Adam Wharton,Crystal Palace,81,CDM,MID,DM
Morgan Rogers,Aston Villa,82,CAM,MID,CAM
Iliman Ndiaye,Everton,81,LM,MID,LM
Savinho,Manchester City,81,RW,FWD,RW
Matz Sels,Nottingham Forest,82,GK,GK,GK
John Stones,Manchester City,82,CB,DEF,CB
Nathan Aké,Manchester City,82,CB,DEF,CB
Fabian Schär,Newcastle United,82,CB,DEF,CB
John McGinn,Aston Villa,81,LM,MID,LM
Andrew Robertson,Liverpool,81,LB,DEF,LB
Ollie Watkins,Aston Villa,83,ST,FWD,ST
Joelinton,Newcastle United,81,CM,MID,CM
Mikel Merino,Arsenal,83,CM,MID,CM
Ezri Konsa,Aston Villa,83,CB,DEF,CB
Antonee Robinson,Fulham,82,LB,DEF,LB
Palhinha,Bayern München,83,CDM,MID,DM
Cristian Romero,Tottenham Hotspur,82,CB,DEF,CB
Dean Henderson,Crystal Palace,81,GK,GK,GK
Yoane Wissa,Newcastle United,82,ST,FWD,ST
Matthijs de Ligt,Manchester United,82,CB,DEF,CB
Kai Havertz,Arsenal,82,ST,FWD,ST
Federico Chiesa,Liverpool,81,RM,MID,RM
Morgan Gibbs-White,Nottingham Forest,82,CAM,MID,CAM
Jean-Philippe Mateta,Crystal Palace,82,ST,FWD,ST
Boubacar Kamara,Aston Villa,83,CDM,MID,DM
Daniel Muñoz,Crystal Palace,82,RB,DEF,RB
Reece James,Chelsea,82,RB,DEF,RB
Nikola Milenković,Nottingham Forest,82,CB,DEF,CB
Pedro Neto,Chelsea,81,RM,MID,RM
Lisandro Martínez,Manchester United,81,CB,DEF,CB
Guglielmo Vicario,Tottenham Hotspur,83,GK,GK,GK
Matheus Cunha,Manchester United,83,CAM,MID,CAM
Antoine Semenyo,AFC Bournemouth,81,RM,MID,RM
Rayan Aït-Nouri,Manchester City,81,LB,DEF,LB
Pedro Porro,Tottenham Hotspur,82,RB,DEF,RB
Jérémy Doku,Manchester City,81,LW,FWD,LW
Gabriel Martinelli,Arsenal,81,LW,FWD,LW
Rayan Cherki,Manchester City,81,RW,FWD,RW
Sven Botman,Newcastle United,82,CB,DEF,CB
Elliot Anderson,Nottingham Forest,81,CDM,MID,DM
Kaoru Mitoma,Brighton & Hove Albion,82,LM,MID,LM
Milos Kerkez,Liverpool,81,LB,DEF,LB
Murillo,Nottingham Forest,82,CB,DEF,CB
Granit Xhaka,Sunderland,85,CDM,MID,DM
Virgil van Dijk,Liverpool,90,CB,DEF,CB
Jordan Pickford,Everton,84,GK,GK,GK
Declan Rice,Arsenal,88,CDM,MID,DM
Marc Cucurella,Chelsea,85,LB,DEF,LB
Viktor Gyökeres,Arsenal,86,ST,FWD,ST
Cody Gakpo,Liverpool,84,LM,MID,LM
William Saliba,Arsenal,88,CB,DEF,CB
Bukayo Saka,Arsenal,88,RW,FWD,RW
Enzo Fernández,Chelsea,85,CM,MID,CM
Zubimendi,Arsenal,84,CDM,MID,DM
Jurriën Timber,Arsenal,84,RB,DEF,RB
Omar Marmoush,Manchester City,83,LW,FWD,LW
Hugo Ekitiké,Liverpool,83,ST,FWD,ST
Emiliano Martínez,Aston Villa,85,GK,GK,GK
Mohamed Salah,Liverpool,90,RM,MID,RM
Bruno Fernandes,Manchester United,87,CM,MID,CM
Alisson,Liverpool,89,GK,GK,GK
Youri Tielemans,Aston Villa,85,CM,MID,CM
Bernardo Silva,Manchester City,84,CM,MID,CM
James Maddison,Tottenham Hotspur,84,CM,MID,CM
David Raya,Arsenal,87,GK,GK,GK
Martin Ødegaard,Arsenal,86,CM,MID,CM
Gianluigi Donnarumma,Manchester City,89,GK,GK,GK
Rodri,Manchester City,90,CDM,MID,DM
Gabriel,Arsenal,89,CB,DEF,CB
Alexander Isak,Liverpool,88,ST,FWD,ST
Eberechi Eze,Arsenal,84,CAM,MID,CAM
Dominik Szoboszlai,Liverpool,84,CAM,MID,CAM
Ibrahima Konaté,Liverpool,85,CB,DEF,CB
Phil Foden,Manchester City,85,RW,FWD,RW
Erling Haaland,Manchester City,91,ST,FWD,ST
Rúben Dias,Manchester City,86,CB,DEF,CB
Alexis Mac Allister,Liverpool,86,CM,MID,CM
Tijjani Reijnders,Manchester City,85,CM,MID,CM
Sandro Tonali,Newcastle United,86,CDM,MID,DM
Marc Guéhi,Crystal Palace,83,CB,DEF,CB
Bryan Mbeumo,Manchester United,85,RW,FWD,RW
Xavi Simons,Tottenham Hotspur,83,CAM,MID,CAM
Ryan Gravenberch,Liverpool,86,CDM,MID,DM
Dejan Kulusevski,Tottenham Hotspur,83,CM,MID,CM
Bruno Guimarães,Newcastle United,86,CM,MID,CM
Joško Gvardiol,Manchester City,85,CB,DEF,CB
Jeremie Frimpong,Liverpool,83,RB,DEF,RB
Moisés Caicedo,Chelsea,88,CDM,MID,DM
Piero Hincapié,Bayer 04 Leverkusen,83,CB,DEF,CB
